timestamp,score,duration_seconds
2025-06-15 19:44:55,0,5.93
2025-06-15 19:45:01,2,6.42
2025-06-15 19:45:05,0,3.35
2025-06-15 19:45:05,0,0.63
2025-06-15 19:45:15,4,9.39
2025-06-15 19:45:25,4,9.88
2025-06-15 19:45:31,3,6.33
2025-06-15 19:45:34,1,2.44
2025-06-15 19:45:41,3,7.31
2025-06-15 19:45:46,1,4.86
2025-06-15 19:45:52,3,6.69
2025-06-15 19:45:56,0,3.47
2025-06-15 19:50:45,0,0.72
2025-06-15 19:50:53,1,8.21
2025-06-15 19:51:00,1,7.26
2025-06-15 19:51:07,3,6.47
2025-06-15 19:51:07,0,0.64
2025-06-15 19:51:16,3,8.45
2025-06-15 19:51:27,3,11.25
2025-06-15 19:51:32,2,5.44
2025-06-15 19:51:41,4,8.71
2025-06-15 19:51:43,0,2.24
2025-06-15 19:53:07,0,3.32
2025-06-15 19:53:10,0,2.5
2025-06-15 19:58:33,5,14.15
2025-06-15 20:01:19,0,3.72
2025-06-15 20:01:22,0,2.92
2025-06-15 20:03:23,4,9.41
2025-06-15 20:03:34,2,10.52
2025-06-15 20:04:00,4,26.41
2025-06-15 20:04:05,0,4.26
2025-06-15 20:06:15,1,10.27
2025-06-15 20:20:07,0,1.2
2025-06-15 20:20:08,0,1.24
2025-06-15 20:20:09,0,1.28
2025-06-15 20:20:13,0,4.3
2025-06-15 20:28:12,2,6.28
2025-06-15 20:28:21,4,9.55
2025-06-15 20:28:25,0,4.15
2025-06-15 20:28:27,0,1.43
2025-06-15 20:29:03,0,35.81
2025-06-15 20:29:08,1,5.03
2025-06-15 20:29:08,0,0.61
2025-06-15 20:29:14,2,5.42
2025-06-15 20:29:16,0,2.43
2025-06-15 20:31:35,1,5.38
2025-06-15 20:31:45,5,10.09
2025-06-15 20:31:53,3,8.14
2025-06-15 20:31:59,0,5.24
2025-06-15 20:32:02,0,3.44
2025-06-15 20:32:13,2,10.65
2025-06-15 20:34:11,1,5.35
2025-06-15 20:34:29,6,18.45
2025-06-15 20:34:40,1,10.89
2025-06-15 20:35:01,1,5.22
2025-06-15 20:35:08,1,7.0
2025-06-15 20:35:13,0,5.42
2025-06-15 20:38:39,6,16.55
2025-06-15 20:39:51,1,7.83
2025-06-15 20:39:55,0,3.95
2025-06-15 20:40:22,0,5.65
2025-06-15 20:40:27,1,4.69
2025-06-15 20:40:40,6,12.55
2025-06-15 20:40:40,0,0.64
2025-06-15 20:40:41,0,0.75
2025-06-15 20:40:42,0,1.42
2025-06-15 20:40:46,0,3.99
2025-06-15 20:40:53,2,6.53
2025-06-15 20:41:07,8,14.56
2025-06-15 20:41:12,0,4.71
2025-06-15 20:55:39,0,2.44
2025-06-15 20:55:42,0,2.34
2025-06-15 20:55:44,0,1.96
2025-06-15 20:55:49,0,5.46
2025-06-15 20:58:05,0,3.47
2025-06-15 20:58:15,0,9.92
2025-06-15 21:03:40,4,14.77
2025-06-15 21:03:54,0,1.01
2025-06-15 21:04:00,0,5.63
2025-06-15 21:07:20,0,1.5
2025-06-15 21:07:22,0,1.15
2025-06-15 21:17:16,0,3.03
2025-06-15 21:18:15,0,1.44
2025-06-15 21:18:18,0,2.67
2025-06-15 21:18:22,1,4.01
2025-06-15 21:21:17,2,87.83
2025-06-15 21:22:02,1,20.58
2025-06-15 21:46:10,2,6.16
2025-06-15 21:50:10,11,18.72
2025-06-15 21:53:08,2,5.31
2025-06-15 21:53:16,2,6.16
2025-06-15 21:53:26,4,9.64
2025-06-15 21:55:26,2,6.34
2025-06-15 21:55:39,6,12.16
2025-06-15 21:56:37,2,5.24
2025-06-15 21:57:23,8,15.18
2025-06-15 21:57:24,0,0.58
2025-06-15 22:00:39,2,6.55
2025-06-16 02:19:03,7,13.91
2025-06-16 02:19:19,0,3.38
2025-06-16 02:19:23,1,3.85
2025-06-16 02:19:33,4,9.63
2025-06-16 02:19:46,6,12.34
2025-06-16 02:20:05,10,18.32
2025-06-16 02:20:18,6,11.22
2025-06-16 02:20:22,0,3.37
2025-06-16 02:20:26,1,3.85
2025-06-16 02:20:34,3,6.79
2025-06-16 02:20:45,5,10.69
2025-06-16 02:20:54,4,9.18
2025-06-16 02:20:56,0,0.59
2025-06-16 02:21:29,1,3.86
2025-06-16 02:21:40,5,11.15
2025-06-16 02:21:46,2,5.25
2025-06-16 02:21:50,1,3.73
2025-06-16 02:22:06,8,15.54
2025-06-16 02:46:42,3,7.68
2025-06-16 02:46:51,4,9.53
2025-06-16 02:47:06,7,12.79
2025-06-16 02:58:40,0,0.58
2025-06-16 02:58:45,0,3.53
2025-06-16 03:04:15,0,1.27
2025-06-16 03:04:22,0,3.62
2025-06-16 03:37:11,2,5.37
2025-06-16 03:37:26,7,13.9
